Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Cluster,PC1,PC2,TSNE1,TSNE2
Fine loamy,Brown Earth: Well drained mineral soils,47.2,919,3,2,1.933752462369318,-0.6544349367926731,50.125046,-36.07553
Peat,Peat soils,24.1,889,1,1,-1.8756260856603908,-1.8888335356930597,-69.71941,-45.744633
Fine loamy,Luvisol: Well drained mineral soils,89.4,880,3,2,1.8972883540114367,-0.3840370454448203,90.560074,-11.402197
Fine loamy,Luvisol: Well drained mineral soils,136.4,999,3,2,1.7513117305364254,0.2197274240622955,91.11055,24.017721
Fine loamy,Surface-water Gley: Poorly drained mineral soil,78.8,1133,2,0,-0.18263083383412182,-0.4942425945110147,-13.49204,-29.582544
Fine loamy,Surface-water Gley: Poorly drained mineral soil,150.2,1070,2,0,-0.24626277385850193,-0.031182373488511494,0.9543145,9.255754
Fine loamy,Brown Earth: Well drained mineral soils,130.0,1024,3,2,1.7444620514355185,0.2142742157056372,77.53073,29.451077
Coarse loamy,Brown Earth: Well drained mineral soils,36.0,1563,3,2,1.5324103493498242,0.45425856698789646,13.374804,39.1359
Peat,Peat soils,93.0,1210,1,1,-2.1846826868593516,-0.730722996066085,-54.01497,-5.1616836
Fine loamy,Brown Earth: Well drained mineral soils,153.1,1221,3,2,1.5828690932361331,0.7690605900587562,47.900623,53.09811
Peat,Peat soils,85.0,1603,2,0,-0.4965726794139278,0.43174574669417476,-29.974628,18.19068
Peat,Peat soils,10.2,1428,1,1,-2.2049078467602183,-0.9976988245415299,-82.817116,-3.647666
Peat,Peat soils,188.0,1860,1,3,-2.7453453475565306,1.2524711655600198,-73.10476,37.518543
Peat,Peat soils,47.0,2300,1,3,-2.824393526528494,0.9259500766864242,-85.43913,38.347183
Peat,Peat soils,145.8,1721,1,1,-2.5934206459832594,0.6504679129859441,-70.5552,26.67119
Fine loamy,Luvisol: Well drained mineral soils,62.8,838,3,2,1.9634621964776882,-0.6785182052413025,66.88442,-47.985733
Fine loamy,Luvisol: Well drained mineral soils,230.5,1065,2,0,-0.36054226704327474,0.6122790726381231,2.7915354,23.04017
Fine loamy,Luvisol: Well drained mineral soils,114.2,1002,3,2,1.7818564934486973,0.044847639400093176,81.15025,13.026344
Coarse loamy,Brown Earth: Well drained mineral soils,38.0,1350,3,2,1.667646775587861,0.07370834034875862,17.470533,24.913698
Fine loamy,Luvisol: Well drained mineral soils,77.2,866,3,2,1.9242247891828397,-0.5092948252966344,82.082214,-29.588573
Fine loamy,Luvisol: Well drained mineral soils,92.6,926,3,2,1.8627668750051471,-0.2723277804140528,86.314995,-6.162801
Loamy,Podzols: Well drained acid mineral soil,425.4,1714,2,3,-1.0667645485714772,3.4057191585886764,-18.343067,64.05129
Fine loamy,Luvisol: Well drained mineral soils,79.6,883,3,2,1.9096851427442418,-0.45811452720591217,82.14893,-26.965237
Fine loamy,Luvisol: Well drained mineral soils,169.0,1564,2,0,-0.5942130233122689,1.0419449494344808,-18.023165,32.95555
Fine loamy,Luvisol: Well drained mineral soils,91.4,837,3,2,1.922253427178596,-0.44788552259823944,91.14561,-30.753572
Fine loamy,Brown Earth: Well drained mineral soils,89.7,1150,3,2,1.721712435242722,0.1213986161899725,50.992752,14.940377
Fine loamy,Luvisol: Well drained mineral soils,8.5,1134,2,0,-0.08039218362505007,-1.0638636667489414,-39.220993,-34.115925
Fine loamy,Surface-water Gley: Poorly drained mineral soil,47.2,920,2,0,0.0017807482450500345,-1.1479345451402587,-5.5599356,-70.8662
Fine loamy,Surface-water Gley: Poorly drained mineral soil,135.1,1000,2,0,-0.17875737339160835,-0.284340167653955,6.011811,-14.442963
Fine loamy,Luvisol: Well drained mineral soils,135.1,869,3,2,1.8375394930809774,-0.03302425008956611,98.51456,13.335174
All,River alluvium,106.4,1021,0,1,-4.013021468035725,-1.4692518623736437,-97.395706,-20.83859
Fine loamy,Luvisol: Well drained mineral soils,131.9,1028,2,0,-0.19223636572205383,-0.2581910240850567,5.244881,-16.3187
Fine loamy,Brown Earth: Well drained mineral soils,143.7,1041,2,0,-0.21793872735347453,-0.1380478828911641,2.2499359,8.526266
All,River alluvium,18.9,1473,0,1,-4.178153234531024,-1.3385043719260459,-107.39946,-11.757989
Coarse loamy,Brown Earth: Well drained mineral soils,82.7,1128,3,2,1.746227669773699,0.02350915807231324,50.535545,12.041366
Fine loamy,Brown Earth: Well drained mineral soils,99.9,1037,2,0,-0.15124077913116807,-0.5015594361056617,3.5397217,-35.947083
Peat,Peat soils,130.0,2118,2,3,-0.8964895974326854,1.756980561404467,-29.329285,45.587967
Fine loamy,Brown Earth: Well drained mineral soils,66.9,1103,3,2,1.78556807684107,-0.1515062726359202,45.08701,-1.1668038
Peat,Peat soils,292.2,1293,1,1,-2.5300594772739604,1.0432421965401342,-51.50621,40.026703
Fine loamy,Brown Earth: Well drained mineral soils,197.48361,927,3,2,1.7086162001379526,0.5821568988423773,70.701935,64.87016
Peat,Peat soils,87.0,1429,1,1,-2.31795685798659,-0.3715119325251528,-70.57442,6.8402796
Loamy,"Rendzinas: Well drained shallow soils with high lime content, derived from limestone",26.0,1137,3,2,1.8233728500930377,-0.4206509379529234,23.603916,-7.172921
Fine loamy,Brown Earth: Well drained mineral soils,25.7,1146,3,2,1.817974018821901,-0.4063231401376247,22.885595,-6.120798
Peat,Peat soils,55.7,1795,2,0,-0.5782325361516998,0.5512463417725273,-34.19713,30.59595
All,River alluvium,66.8,874,0,1,-3.8597127467104104,-2.0650227599508946,-96.00445,-30.535414
Fine loamy,Luvisol: Well drained mineral soils,111.9,1020,3,2,1.7735468596245756,0.05968356447166734,79.17656,13.30131
Coarse loamy,Brown Earth: Well drained mineral soils,78.0,1015,3,2,1.8264043544474688,-0.225211682249023,63.189514,-4.7362685
Fine loamy,Luvisol: Well drained mineral soils,98.2,1015,2,0,-0.13448234001560788,-0.556364038951072,4.9069066,-38.45709
Fine loamy,Luvisol: Well drained mineral soils,110.8,961,3,2,1.8134274066256264,-0.05917271188803852,85.84024,8.256666
Peat,Peat soils,288.0,1648,1,3,-2.7541851142065332,1.6704472520262543,-59.537518,45.04154
Fine loamy,Brown Earth: Well drained mineral soils,42.0,1102,2,0,-0.10866402425765731,-0.8511493115184428,-25.549164,-50.45865
Coarse loamy,Brown Podzolic: Well drained acid mineral soil,200.6,1260,3,2,1.4880530980538431,1.227853551148776,40.265694,67.92057
Fine loamy,Brown Earth: Well drained mineral soils,41.5,1111,2,0,-0.11377014626783577,-0.8384473572983232,-26.023117,-50.436657
Fine loamy,Brown Earth: Well drained mineral soils,25.0,1129,3,2,1.830025636542346,-0.44368376766932394,23.942139,-8.318986
Fine loamy,Luvisol: Well drained mineral soils,117.1,1102,3,2,1.7127467073583915,0.2547175182864967,63.63045,27.905832
Fine loamy,Brown Earth: Well drained mineral soils,19.6,1027,2,0,-0.027231460675436026,-1.1729651542457422,-18.289215,-72.25226
Peat,Peat soils,18.0,1496,1,1,-2.260432049165976,-0.8076102245352533,-83.56236,0.839984
All,River alluvium,66.47039,869,0,1,-3.855987072122567,-2.0770169888257453,-95.97258,-30.7536
Fine loamy,Brown Earth: Well drained mineral soils,152.0,1166,3,2,1.620155020164928,0.6576561195693029,58.63367,48.724102
Peat,Peat soils,206.0,2039,1,3,-2.887798429276306,1.7322654018199342,-75.01136,41.649467
