Texture,Description,Elevation,Annual_Rainfall,Hydrology_Category,Raw_Hydrology,Flood_Risk_Index,Runoff_Index,Cluster_Agglo,Cluster_KMeans,UMAP1,UMAP2
Fine loamy,Luvisol: Well drained mineral soils,0.6450374610686712,-0.6722057743897593,0,0,-1.3172432354584305,2.354962538931329,0,0,13.813628,7.6410594
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-0.6520644551822059,-0.28580927691976676,3,3,0.36625517826243914,0.6520644551822059,0,1,-3.8814929,-4.538238
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.9558014618371101,-0.4674733018496886,3,3,-1.4232747636867988,-0.9558014618371101,0,1,-8.234061,2.0745182
Fine loamy,Brown Earth: Well drained mineral soils,0.5009150259296847,-0.6001168756080443,0,0,-1.101031901537729,2.4990849740703154,0,0,15.0412035,7.1552405
Coarse loamy,Brown Earth: Well drained mineral soils,-1.615883240174177,0.9541197821257316,0,0,2.5700030222999084,4.615883240174177,0,0,8.026203,-1.1303216
Peat,Peat soils,-0.33229280221757995,-0.06377546867208453,2,2,0.26851733354549545,1.33229280221758,0,0,-0.7762726,16.106579
Fine loamy,Brown Earth: Well drained mineral soils,1.0211069402594635,-0.03205635320812992,0,0,-1.0531632934675934,1.9788930597405365,0,0,12.884564,6.21953
Peat,Peat soils,-0.5124458461413128,1.0694620201764755,3,3,1.5819078663177883,0.5124458461413128,0,0,-1.929841,-1.4591821
Peat,Peat soils,-2.1968768068282154,0.5648397287044704,2,2,2.7617165355326856,3.1968768068282154,0,0,5.4384685,15.670644
Peat,Peat soils,1.8070245943767482,1.8105358996525058,2,2,0.0035113052757576035,-0.8070245943767482,0,1,0.46111274,12.387075
Peat,Peat soils,-1.3681728047790442,3.0793005182106903,2,2,4.447473322989735,2.3681728047790442,0,0,4.583018,14.914915
Peat,Peat soils,0.8567172876790575,1.4097216224261704,2,2,0.5530043347471129,0.14328271232094247,0,1,0.7408537,13.798978
Fine loamy,Luvisol: Well drained mineral soils,-1.0123705430296717,-1.136458282544004,0,0,-0.12408773951433227,4.012370543029672,0,0,18.474943,-3.2895393
Fine loamy,Luvisol: Well drained mineral soils,2.7640876402215793,-0.4818910816060316,3,3,-3.245978721827611,-2.7640876402215793,1,1,-5.8199263,6.009577
Fine loamy,Luvisol: Well drained mineral soils,0.14511276418031233,-0.6635551065359535,0,0,-0.8086678707162658,2.8548872358196875,0,0,16.84417,5.930076
Coarse loamy,Brown Earth: Well drained mineral soils,-1.5708449791932437,0.33992236450551955,0,0,1.9107673436987633,4.570844979193244,0,0,8.72937,-2.4877186
Fine loamy,Luvisol: Well drained mineral soils,-0.6880950639669523,-1.055718715908483,0,0,-0.3676236519415308,3.6880950639669523,0,0,19.899706,1.2725728
Fine loamy,Luvisol: Well drained mineral soils,-0.3413004544137667,-0.8827053588323671,0,0,-0.5414049044186005,3.3413004544137666,0,0,18.702337,3.570337
Loamy,Podzols: Well drained acid mineral soil,7.153066172813522,1.3895367307672901,3,3,-5.763529442046232,-7.153066172813522,1,1,-2.161659,6.17234
Fine loamy,Luvisol: Well drained mineral soils,-0.6340491507898327,-1.006698264736917,0,0,-0.3726491139470842,3.6340491507898327,0,0,19.622223,1.3857082
Fine loamy,Luvisol: Well drained mineral soils,1.3791611150578826,0.9570033380770001,3,3,-0.4221577769808825,-1.3791611150578826,0,1,-5.988252,1.7363728
Fine loamy,Luvisol: Well drained mineral soils,-0.36832341100232635,-1.1393418384952725,0,0,-0.7710184274929461,3.3683234110023266,0,0,19.021248,4.3447576
Fine loamy,Brown Earth: Well drained mineral soils,-0.4066059328361197,-0.23678882574820057,0,0,0.1698171070879191,3.40660593283612,0,0,16.23663,0.26066393
Fine loamy,Luvisol: Well drained mineral soils,-2.2351593286620086,-0.28292572096849816,3,3,1.9522336076935105,2.2351593286620086,0,0,1.9341695,-1.3155154
Fine loamy,Surface-water Gley: Poorly drained mineral soil,-1.3636689786809508,-0.9000066945399787,3,3,0.4636622841409721,1.3636689786809508,0,0,-0.7799982,-5.75571
Fine loamy,Surface-water Gley: Poorly drained mineral soil,0.6157625914310644,-0.6693222184384907,3,3,-1.285084809869555,-0.6157625914310644,0,1,-8.637432,0.8468192
